IATA_ID,Name,WMO_ID,MSC_ID,Latitude,Longitude,Elevation(m),Data_Provider,Dataset/Network,AUTO/MAN,Province/Territory
CGGA,GASPE AIRPORT,73116,7052603,48.776738,-64.479393,36.072,MSC,CA,AUTO,Quebec
CGKM,SCHEFFERVILLE COTE-NORD,73075,7117824,54.802639,-66.804488,519.337,MSC,CA,AUTO,Quebec
CGMG,MATAGAMI,71821,7094637,49.757871,-77.793226,281.484,MSC,CA,AUTO,Quebec
CGRQ,TROIS RIVIERES,71729,7018563,46.359328,-72.675861,63.0,MSC,CA,AUTO,Quebec
CGSA,SAINT-CAMILLE-DE-LELLIS,73105,7026930,46.494686,-70.207442,404.083,MSC,CA,AUTO,Quebec
CGVO,VAL-D'OR,71725,7098603,48.056548,-77.78658,338.952,MSC,CA,AUTO,Quebec
CMBE,BAGOTVILLE AIRPORT,73035,7060390,48.329714,-70.986437,159.510,MSC,CA,AUTO,Quebec
CMFJ,KUUJJUARAPIK,71615,7103539,55.369504,-77.629143,31.729,MSC,CA,AUTO,Quebec
CMFM,FORET MONTMORENCY RCS,71212,7042395,47.322593,-71.148281,673.105,MSC,CA,AUTO,Quebec
CMFX,SALLUIT,71641,7117800,62.179704,-75.670074,229.012,MSC,CA,AUTO,Quebec
CMGB,GRANBY,,7022802,45.372631,-72.774189,88.232,MSC,CA,AUTO,Quebec
CMGZ,GRANDES BERGERONNES,71942,7042845,48.274529,-69.543661,59.238,MSC,CA,AUTO,Quebec
CMIN,PARC NATIONAL DES PINGUALUIT,71976,7115800,61.31283,-73.668412,501.578,MSC,CA,AUTO,Quebec
CMJI,MONT-JOLI,71658,7055122,48.605193,-68.195657,57.608,MSC,CA,AUTO,Quebec
CMJK,INUKJUAK,71907,710S005,58.467331,-78.078671,25.0,MSC,CA,AUTO,Quebec
CMJN,NEW RICHMOND EAST,71659,7055440,48.156544,-65.84193,4.225,MSC,CA,AUTO,Quebec
CMLU,LEMIEUX,71616,701Q009,46.303728,-72.060519,94.693,MSC,CA,AUTO,Quebec
CMMY,SAINT-MICHEL-DES-SAINTS,71737,7077571,46.815567,-74.094017,430.132,MSC,CA,AUTO,Quebec
CMNT,NATASHQUAN AIRPORT,71813,7045401,50.190066,-61.794219,10.892,MSC,CA,AUTO,Quebec
CMRF,RIVIERE AUX FEUILLES,71743,7116505,57.909731,-72.976014,171.257,MSC,CA,AUTO,Quebec
CMSI,SAINT-GERMAIN-DE-GRANTHAM,71967,7027470,45.825353,-72.536979,78.391,MSC,CA,AUTO,Quebec
CMTH,THETFORD MINES RCS,71494,7028442,46.049134,-71.266448,431.405,MSC,CA,AUTO,Quebec
