IATA,FR name,EN name,Province,AUTO/MAN,Latitude,Longitude,Elevation,# ICAO ID,# WMO ID,# MSC ID,DST Time,STD Time,Data Provider,Data Provider French,Data Attribution Notice,Data Attribution Notice French
GAM,Gameland Tower,Gameland Tower,ON,AUTO,48.837,-94.4002,364.519,,,ON-MNRF-AFFES_GAM,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
GLP,Camp 603,Camp 603,ON,AUTO,49.8582,-90.1953,491.476,,,ON-MNRF-AFFES_GLP,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
GOG,Gogama,Gogama,ON,AUTO,47.7568,-81.6707,375.626,,,ON-MNRF-AFFES_GOG,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
GRY,Grey Trout,Grey Trout,ON,AUTO,49.0325,-92.1314,448.771,,,ON-MNRF-AFFES_GRY,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
HEA,Hearst,Hearst,ON,AUTO,49.7088,-83.6947,249.19,,,ON-MNRF-AFFES_HEA,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
HIK,Hicks Lake,Hicks Lake,ON,AUTO,48.8451,-89.1168,476.537,,,ON-MNRF-AFFES_HIK,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
HOR,Hornepayne,Hornepayne,ON,AUTO,49.1891,-84.7641,329.89,,,ON-MNRF-AFFES_HOR,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
HST,Hillsport,Hillsport,ON,AUTO,49.4514,-85.5478,312.732,,,ON-MNRF-AFFES_HST,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
IGN,Ignace,Ignace,ON,AUTO,49.4055,-91.6342,457.2,,,ON-MNRF-AFFES_IGN,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
ILF,Island Falls,Island Falls,ON,AUTO,49.5777,-81.3755,231.517,,,ON-MNRF-AFFES_ILF,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
JEA,Jellicoe,Jellicoe,ON,AUTO,49.6676,-87.5832,329.007,,,ON-MNRF-AFFES_JEA,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
JOB,Job Lake,Job Lake,ON,AUTO,51.5095,-94.6807,372.023,,,ON-MNRF-AFFES_JOB,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
KAB,Kabitotikwia Lake,Kabitotikwia Lake,ON,AUTO,49.5998,-89.1799,291.803,,,ON-MNRF-AFFES_KAB,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
KAP,Kapuskasing,Kapuskasing,ON,AUTO,49.4179,-82.4664,225.381,,,ON-MNRF-AFFES_KAP,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
KAS,Kasabonika A,Kasabonika A,ON,AUTO,53.5272,-88.6395,204.521,,,ON-MNRF-AFFES_KAS,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
KES,Kesagami,Kesagami,ON,AUTO,49.7975,-80.2292,335.334,,,ON-MNRF-AFFES_KES,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
KIO,Kiosk,Kiosk,ON,AUTO,46.1518,-78.9246,360.967,,,ON-MNRF-AFFES_KIO,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
KLK,Kirkland Lake,Kirkland Lake,ON,AUTO,48.1192,-80.0879,303.179,,,ON-MNRF-AFFES_KLK,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
KNG,Kingfisher Lake,Kingfisher Lake,ON,AUTO,53.0127,-89.8548,261.907,,,ON-MNRF-AFFES_KNG,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
KRN,Kearns Lake,Kearns Lake,ON,AUTO,49.4893,-89.9955,466.031,,,ON-MNRF-AFFES_KRN,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
KSH,Khashahpiwi Tower,Khashahpiwi Tower,ON,AUTO,48.2364,-91.4938,510.093,,,ON-MNRF-AFFES_KSH,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
LAC,Ear Falls,Ear Falls,ON,AUTO,50.678,-93.1212,399.553,,,ON-MNRF-AFFES_LAC,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
LBC,Lake Labitiche,Lake Labitiche,ON,AUTO,46.8644,-82.2017,511.081,,,ON-MNRF-AFFES_LBC,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
LLK,Lost Lake,Lost Lake,ON,AUTO,47.69,-80.6382,361,,,ON-MNRF-AFFES_LLK,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
LOO,Loon Lake,Loon Lake,ON,AUTO,47.4256,-79.8079,301.799,,,ON-MNRF-AFFES_LOO,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
MAN,Manitouwadge,Manitouwadge,ON,AUTO,49.0852,-85.8541,360.748,,,ON-MNRF-AFFES_MAN,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
MAS,Massey,Massey,ON,AUTO,46.2145,-82.0664,189.357,,,ON-MNRF-AFFES_MAS,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
MCD,MacDowell Lake,MacDowell Lake,ON,AUTO,52.2798,-92.5483,392,,,ON-MNRF-AFFES_MCD,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
MEA,Meakin,Meakin,ON,AUTO,47.0384,-82.8157,440.783,,,ON-MNRF-AFFES_MEA,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
MED,Medcalfe Lake,Medcalfe Lake,ON,AUTO,50.9576,-90.4218,412.219,,,ON-MNRF-AFFES_MED,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
MSK,Muskrat Dam,Muskrat Dam,ON,AUTO,53.4377,-91.7658,273.094,,,ON-MNRF-AFFES_MSK,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
MTC,Matachewan,Matachewan,ON,AUTO,48.0165,-80.8491,326.801,,,ON-MNRF-AFFES_MTC,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
MTN,Marten River,Marten River,ON,AUTO,46.8493,-79.809,323.845,,,ON-MNRF-AFFES_MTN,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
MYR,Myrt Lake,Myrt Lake,ON,AUTO,48.4533,-90.7086,498.673,,,ON-MNRF-AFFES_MYR,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
NAG,Nagagami,Nagagami,ON,AUTO,49.7721,-84.5564,243.933,,,ON-MNRF-AFFES_NAG,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
NAK,Nakina,Nakina,ON,AUTO,50.1646,-86.7999,352.018,,,ON-MNRF-AFFES_NAK,EDT,EST,ON Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services,ON Le ministère du Développement du Nord; des Mines;  des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt,Data provided by the Ontario Ministry of Northern Development; Mines; Natural Resources and Forestry; Aviation; Forest Fire and Emergency Services Branch (ON-NDMNRF-AFFES). All rights reserved.,Données d’observation fournies par le Gouvernement de l’Ontario; Le ministère du Développement du Nord; des Mines; des Richesses naturelles et des Forêts; Services d'urgence; d'aviation et de lutte contre les feux de forêt (ON-DNMRNF-SUALFF). Tous droits réservés.
